,date,text,topic,topic_proba
45423,1684312260,"Владелец сети «Золотое яблоко» Инвестиционная Компания «Джи Эй Групп» ищет арендатора для своего торгового помещения, расположенного по Комсомольскому проспекту, 36. Ранее здесь планировали открыть третий магазин косметического бренда.

https://www.business-class.su/news/2023/05/16/set-zolotoe-yabloko-sdaet-v-arendu-torgovoe-pomeshchenie-v-centre-permi",Город,0.55760586
45422,1684305060,"Пассажиропоток общественного транспорта Перми за первые три месяца 2023 года достиг 55,6 млн поездок, что на 27,8% превышает показатель аналогичного периода прошлого года. Рассказываем, какими автобусами и трамваями пермяки стали пользоваться чаще, а какими реже и почему.

https://www.business-class.su/news/2023/05/17/avtobus-nerezinovyi-samye-vostrebovannye-marshruty-permi-za-god-stali-eshche-bolee-zagruzhennymi",Город,0.8697516
45415,1684297998,"Глава Перми Алексей Дёмкин анонсировал создание Парка Героев труда в Мотовилихинском районе города. Его планируют создать на базе Центрального парка культуры и отдыха им. Я. М. Свердлова.

https://www.business-class.su/news/2023/05/16/glava-permi-aleksei-demkin-obyavil-o-sozdanii-parka-geroev-truda-v-motovilihe",Город,0.9883525
45414,1684292400,"В пермском ТРЦ «Планета» на месте ушедшего из России H&M откроется магазин одежды и товаров для дома финской сети «Стокманн». H&M в Перми закрылся осенью прошлого года.

https://www.business-class.su/news/2023/05/16/v-permi-otkroetsya-pervyi-magazin-odezhdy-i-tovarov-dlya-doma-stokmann",Город,0.94002926
45413,1684256460,"В [club135161380|Законодательном Собрания Пермского края] прошли публичные слушания по исполнению регионального бюджета по итогам 2022 года. Доходы составили 213,7 млрд рублей, что на 13 млрд больше, чем планировалось. Расходы составили 220 млрд рублей – 94,7 % от плана. По словам спикера краевого парламента Валерия Сухих, высокое исполнение бюджета за прошлый год говорит о его эффективности.

https://www.business-class.su/news/2023/05/16/dohody-byudzheta-permskogo-kraya-v-2022-godu-na-13-mlrd-prevysili-planovyi-pokazatel",Экономика,0.61351126
45411,1684249202,"Действующая в интересах ГК «ПМД» компания «Аксиома» предложила установить на указанной площадке зону комплексного развития территории.

https://www.business-class.su/news/2023/05/15/gk-rial-prodala-chast-byvshego-stadiona-dzerzhinec-v-permi",Город,0.8939818
45410,1684242002,В пермском сквере им. Субботина – весна! Голубое небо и запах яблонь. Все гулять!,Город,0.30683577
45408,1684234802,"Губернатор Пермского края Дмитрий Махонин поручил установить систему видеонаблюдения на всей территории Слудской горки. Она должна уберечь благоустроенную территорию от вандалов.

https://www.business-class.su/news/2023/05/14/na-vsei-territorii-sludskoi-gorki-v-permi-budut-vesti-videonablyudenie",Город,0.9007439
45407,1684227604,"В Перми права на более 10 тысяч квартир не зарегистрированы в Едином государственном реестре недвижимости. Без этого их невозможно продать.

https://www.business-class.su/news/2023/05/15/v-permi-ne-zaregistrirovany-bolee-10-tysyach-kvartir",Экономика,0.32485116
45404,1684220404,"Владелец дискаунтеров из Татарстана «Находка» открыл в Перми третий магазин. Торговая точка находится в Мотовилихинском районе и работает в формате жесткого дискаунтера.

https://www.business-class.su/news/2023/05/15/set-zhestkih-diskaunterov-iz-tatarstana-otkryla-eshche-odin-magazin-v-permi",Город,0.8264615
45397,1684213703,"Участниками конкурса «Будущие законодатели Пермского края» стали школьники из Донецкой и Луганской народных республик. Они представили рисунки в специальной номинации «Россия – наша страна». По словам председателя Законодательного Собрания Пермского края Валерия Сухих, конкурс создан для того, чтобы каждый ребенок мог проявить себя и рассказать о своей Родине.

https://www.business-class.su/news/2023/05/12/shkolniki-iz-donbassa-prinyali-uchastie-v-konkurse-kraevogo-parlamenta-prikamya",Культура,0.7077437
45396,1684206000,"На участке от деревни Верхнее Гуляево до объездной дороги Краснокамска построят четырехполосную дорогу с разделительной полосой и искусственным электроосвещением на всем протяжении. Предусмотрена и двухуровневая транспортная развязка.

https://www.business-class.su/news/2023/05/14/rekonstrukciyu-trassy-m-7-volga-na-podezde-k-krasnokamsku-zavershat-osenyu-2024-goda",Город,0.67147624
45395,1684166400,Прогулка по Черняевскому лесу 🌳,Город,0.6038639
45394,1684161600,"В рамках исторического форума «Город Пермь – 300 лет в истории России» прошел круглый стол. Участники порассуждали, как сделать Пермский край привлекательным в глазах школьника.

https://www.business-class.su/news/2023/05/15/v-ramkah-istoricheskogo-foruma-v-permi-obsudili-detskii-turizm",Город,0.7752875
45393,1684155603,"Молодежный парламент при региональном [club135161380|Законодательном Собрания Пермского края] провел десятый форум молодых парламентариев. В мероприятиях поучаствовали 150 человек из разных территорий региона. Ключевыми темами форума стали самореализация молодежи и решение проблем региона.

https://www.business-class.su/news/2023/05/15/v-forume-molodyh-parlamentariev-v-permskom-krae-prinyali-uchastie-150-chelovek",Город,0.89428586
45392,1684148402,"В расширенный санкционный список Украины попали еще ряд компаний из Пермского края. Санкции включают блокировку активов, ограничения – вплоть до полного прекращения – торговых операций, запрет на транзит ресурсов по территории Украины и другие меры.

https://www.business-class.su/news/2023/05/14/prezident-ukrainy-vvel-sankcii-v-otnoshenii-shveinyh-fabrik-i-drugih-kompanii-permskogo-kraya",Экономика,0.8761316
45389,1684140000,"❗Администрация Перми временно открыла движение по всем полосам Коммунального моста. Решение принято для минимизации транспортных заторов пока ведется ремонт на ул. Локомотивной.

https://www.business-class.su/news/2023/05/15/na-kommunalnom-mostu-v-permi-na-dva-dnya-snyali-ogranicheniya-dvizheniya",Город,0.5286345
45385,1684133293,"В Пермском крае ожидается очень сухая и теплая неделя. Температура воздуха днем будет повышаться от 15…20˚ в понедельник до 20…25˚ в конце недели.

https://www.business-class.su/news/2023/05/15/suho-i-teplo-sinoptiki-rasskazali-o-pogode-v-permskom-krae-na-nedele",Город,0.98970515
45384,1684123516,"Эксперты отмечают, что подходящих площадок в городе крайне мало, а их стоимость может достигать 120 млн рублей.

https://www.business-class.su/news/2023/05/15/tochka-zazemleniya-vkusno-i-tochka-ishchet-uchastki-pod-novyi-restoran-v-permi",Город,0.9903561
45383,1684076402,"Администрация города в июне планирует провести обследование бывшего трамвайного моста через Егошиху, чтобы определить объем работ для дальнейшего ремонта. По мосту через Егошиху была проложена первая в Перми трамвайная линия. 

https://www.business-class.su/news/2023/05/14/vlasti-permi-zaimutsya-remontom-byvshego-tramvainogo-mosta-cherez-egoshihu",Город,0.68323314
45382,1684069202,"Пока в новом пермском зоопарке на Нагорном идут строительные работы, смотрим как там у соседей. Вольеры и животные зоосада в Ижевске.",Город,0.94447106
45381,1684062002,"В Пермь впервые прибыл теплоход «Мустай Карим». Это самый современный теплоход в России, соответствующий уровню пятизвездочного отеля.

https://www.business-class.su/news/2023/05/13/v-perm-vpervye-pribyl-teplohod-mustai-karim",Культура,0.8221391
45375,1684054804,"К возведению универсальной спортивной арены в Дзержинском районе Перми планируется приступить летом 2023 года. Концессионер завершает процедуры привлечения финансирования и выбора подрядной организации.

https://www.business-class.su/news/2023/05/14/stroitelstvo-bolshoi-sportivnoi-areny-v-permi-planiruetsya-nachat-letom-2023-goda",Город,0.63039756
45372,1684047852,"Вспоминаем, чем были примечательны празднования Дня города в прошлые годы. В материале много архивных фотографий 👇

https://www.business-class.su/news/2023/05/12/polveka-v-torzhestvah-kak-v-permi-otmechali-den-goroda-v-proshlye-gody",Культура,0.98369426
45371,1683995220,"Этим летом в Губахе уже двенадцатый год подряд состоится театральный ландшафтный фестиваль «Тайны горы Крестовой». Рассказываем, почему одно из знаковых культурных мероприятий региона в этом году нельзя пропустить.

https://www.business-class.su/news/2023/05/08/yubilei-ukrasyat-zakatom-festival-tainy-gory-krestovoi-12-v-etom-godu-proidet-po-novomu",Культура,0.93045485
45369,1683984420,"Наиболее вероятный погодный сценарий на лето 2023 года в Пермском крае – это теплый и сухой июнь, но прохладные и влажные июль и август.

https://www.business-class.su/news/2023/05/08/mozhet-povtoritsya-scenarii-2015-goda-meteorolog-o-tom-kakim-budet-leto-v-permskom-krae",Город,0.89555883
45368,1683975602,"В Перми стартовал сезон летних кафе. Рестораторы ждут роста посещаемости и приспосабливаются к новым правилам благоустройства.

https://www.business-class.su/news/2023/05/11/zhdat-u-bara-pogody-v-permi-otkrylsya-sezon-letnih-kafe",Город,0.9239851
45364,1683962820,"В программу комплексного ремонта на 2023 год в рамках национального проекта «Безопасные качественные дороги» вошли 22 объекта в Перми. Финансирование составило 731,7 млн рублей.

https://www.business-class.su/news/2023/05/05/dorozhnoe-uskorenie-kakie-dorogi-otremontiruyut-v-permi-po-nacproektu-v-2023-godu",Город,0.8550248
45362,1683955620,"Аналитики: доля нераспроданных остатков по отношению к реализованным объемам в Перми на апрель 2023 года составляет 62%.

Площадь нереализованных остатков – 572,7 тыс. квадратов. 

Подробнее: https://www.business-class.su/news/2023/05/04/otstayushchaya-i-vtorichnaya",Экономика,0.8314863
45361,1683948420,"В этом году жители России будут отдыхать с 10 по 12 июня включительно.

https://www.business-class.su/news/2023/05/08/korotkaya-rabochaya-nedelya-kak-otdyhaem-v-iyune-2023-goda",Наука и техника,0.9885894
45360,1683903603,"Глава Перми Алексей Дёмкин совершил рабочий выезд в Мотовилихинский район и пообщался с жителями. Власти разрабатывают планы по развитию старейшей территории города.

👉 Подробнее: https://www.business-class.su/news/2023/05/12/glava-permi-obsudil-s-zhitelyami-motovilihi-blagoustroistvo-raiona",Город,0.94894624
45359,1683896403,"Краевое правительство утвердило изменения в Адресную инвестиционную программу. Поправка предусматривает приобретение здания бывшего кинотеатра «Кристалл» в Перми. Сейчас специалисты Минимущества проводят мероприятия по оценке рыночной стоимости объекта.

https://www.business-class.su/news/2023/05/12/vlasti-permskogo-kraya-ocenivayut-rynochnuyu-stoimost-kristalla",Город,0.3573087
45358,1683889202,"Довлет Анзароков ушел с должности генерального директора Пермского театра оперы и балета им. П. И. Чайковского. До конца мая Минкульт намерен найти ему замену.

https://www.business-class.su/news/2023/05/11/novogo-rukovoditelya-permskogo-teatra-opery-i-baleta-predstavyat-do-konca-maya",Культура,0.6260918
45355,1683882004,"В выходные в Пермском крае ожидается облачная погода и кратковременные дожди. 

https://www.business-class.su/news/2023/05/12/v-vyhodnye-v-permskom-krae-potepleet-do-19-gradus",Город,0.40826356
45354,1683876420,"В Законодательном Собрании Пермского края наградили лауреатов журналистской премии «Право и общество в Прикамье». По словам спикера краевого парламента Валерия Сухих, ежегодно премия присуждается тем, кто разбирается в сути регионального законодательства и доносит ее до граждан в самых разных уголках Прикамья.

https://www.business-class.su/news/2023/05/11/v-permskom-krae-nagradili-zhurnalistov-za-pobedu-v-konkurse-pravo-i-obshchestvo-v-prikame",Культура,0.6618519
45350,1683872100,"Поздравляем победителя нашего розыгрыша! Билеты на концерт группы «Кино» достаются [id403737755|Rail Robertovich]!
 
Победитель определен независимым сайтом konkurzilla.ru 
Ссылка на результаты розыгрыша: https://konkurzilla.ru/pobediteli/20230530zhtq",Культура,0.53404063
45348,1683868726,"Дым от масштабных пожаров в Свердловской области все-таки добрался до Перми. В городе зафиксировано незначительное ухудшение видимости и заметный запах гари. 

https://www.business-class.su/news/2023/05/12/dym-ot-masshtabnyh-pozharov-v-sverdlovskom-oblasti-doshel-do-permi",Город,0.8037279
45342,1683823800,"С начала года в Пермском крае сданы новые квартиры общей площадью 106 тысяч кв. метров. На первую пятерку девелоперов по вводу жилья в регионе приходится 90,6% введенного жилья.

https://www.business-class.su/news/2023/05/10/odinnadcat-procentov-vniz-top-5-zastroishchikov-prikamya-po-sdannomu-v-2023-godu-mnogokvartirnom",Город,0.42023835
45340,1683816600,"В Перми начнет курсировать автобусный маршрут № 30К от м/р Садовый до остановки «Тенториум». Это позволит увеличить транспортную доступность ул. Встречной.

https://www.business-class.su/news/2023/05/10/s-15-maya-v-permi-zapustyat-dopolnitelnyi-avtobusnyi-marshrut-po-ulice-vstrechnoi",Город,0.87707764
45339,1683809400,"Турецкая сеть одежды LC Waikiki в августе откроет магазин в ТРЦ «Планета». Отдел появится на месте закрывшегося магазина японского бренда Uniqlo.

https://www.business-class.su/news/2023/05/10/v-avguste-v-permi-otkroetsya-vtoroi-magazin-tureckogo-seti-odezhdy-lc-waikiki",Город,0.61650765
45338,1683802200,"Инвестор планирует построить планетарий на Слудской горке по ул. Петропавловской в Перми в 2024 году. Сейчас инвестиционный проект претендует на статус приоритетного.

👉 Подробнее о проекте: https://www.business-class.su/news/2023/05/11/proekt-stroitelstva-novogo-planetariya-v-permi-pretenduet-na-status-prioritetnogo

Изображение: администрация Перми.",Город,0.73491406
45336,1683795000,"Прокурор запросил для бывшего главного пристава Пермского края Игоря Кожевникова 13 лет лишения свободы в колонии строго режима и 50 млн рублей штрафа.

https://www.business-class.su/news/2023/05/10/prokuror-prosit-13-let-kolonii-strogogo-rezhima-dlya-eks-glavnogo-sudebnogo-pristava-prikamya",Силовые структуры,0.8497274
45332,1683787800,"Фестиваль откроет musicAeterna под управлением Теодора Курентзиса в ДК им. Солдатова.

https://www.business-class.su/news/2023/05/10/v-permi-obyavlena-programma-dyagilevskogo-festivalya",Культура,0.5777684
45329,1683780591,"Автомобильное движение в Перми утром 11 мая затруднено. Масштабные пробки зафиксированы на правом берегу Камы и в центре города из-за ремонта Коммунального моста.

https://www.business-class.su/news/2023/05/11/perm-vstala-v-devyatiballnyh-probkah",Город,0.5649294
45327,1683739620,"На торги по продаже птицефабрики «Комсомольская» в Пермском крае поступило несколько заявок. В приобретении актива заинтересованы несколько компаний, в том числе структуры владельца ГК «Таврос» Рустема Миргалимова и агрохолдинг «Комос Групп».

https://www.business-class.su/news/2023/05/10/pticefabriku-v-permskom-krae-mozhet-vykupit-agroholding-iz-udmurtii",Экономика,0.72267705
45326,1683732420,"В Перми демонтировали пермского мишку. Скульптуру вернут на прежнее место в сквере возле гостиницы «Урал».

https://www.business-class.su/news/2023/05/10/skulptura-permskii-medved-vernetsya-na-privychnoe-mesto-vozle-gostinicy-ural",Город,0.94788396
45325,1683730708,"Глава Перми Алексей Дёмкин встретился с директорами школ, представителями Русской Православной Церкви (РПЦ) и некоммерческих организаций. Они обсудили духовно-нравственное и военно-патриотическое воспитание подрастающего поколения и поддержку молодежных инициатив.

https://www.business-class.su/news/2023/05/10/v-permi-obsudili-voenno-patrioticheskoe-i-duhovnoe-vospitanie-shkolnikov",Культура,0.9912923
45324,1683725220,"В расписании аэропорта Большое Савино появился рейс из Перми в Хургаду. Выполнять перелеты будет Azur Air.

https://www.business-class.su/news/2023/05/10/v-raspisanii-permskogo-aeroporta-poyavilsya-reis-charternoi-aviakompanii-azur-air-v-hurgadu",Город,0.9655393
45323,1683718020,"До конца недели в Пермском крае продолжится постепенное потепление. В регионе будет солнечная и сухая погода, но сохранятся ночные заморозки.

https://www.business-class.su/news/2023/05/10/v-vyhodnye-v-permskom-krae-potepleet-do-21-gradusa",Город,0.66736156
45319,1683710820,"Пассажиропоток всего общественного транспорта за первые три месяца 2023 года достиг 55,6 млн поездок, что на 27,8 % превышает показатель аналогичного периода прошлого года.

https://www.business-class.su/news/2023/05/10/stali-izvestny-marshruty-transporta-v-permi-s-samym-bolshim-chislom-passazhirov-v-2023-godu",Город,0.8997128
45318,1683703620,"В Перми разница в стоимости квадратного метра в новостройках и вторичном жилье за год в среднем составила 20 тысяч рублей.

https://www.business-class.su/news/2023/05/04/otstayushchaya-i-vtorichnaya",Город,0.97947204
45312,1683696420,"Маршруты круизов, которые проходят через Пермь и являются частью «Великого волжского пути», планируют продлить до Верхнекамья.

https://www.business-class.su/news/2023/05/07/k-2026-godu-v-permskom-krae-planiruyut-prodlit-kruizy-velikogo-volzhskogo-puti",Город,0.992814
45310,1683689220,"Радиационный фон в Пермском крае оценивается как благополучный. В апреле мощность дозы гамма-излучения не превысила гигиенический норматив.

https://www.business-class.su/news/2023/05/09/v-rospotrebnadzore-rasskazali-ob-urovne-radiacii-v-permskom-krae",Экономика,0.60851747
45308,1683656820,"В Пермском крае ночь на 9 мая оказалась аномально холодной. На некоторых метеостанциях температура воздуха опустилась ниже -5˚.

https://www.business-class.su/news/2023/05/09/v-permskom-krae-ozhidayutsya-zamorozki-do-5-gradusov",Город,0.65638095
45307,1683649620,"После праздничных выходных в двух районах Перми отключат холодную воду. 

https://www.business-class.su/news/2023/05/09/na-etoi-nedele-v-ryade-domov-v-permi-zaplanirovano-otklyuchenie-holodnoi-vody",Город,0.48093936
45306,1683642420,"На первом этаже торгово-развлекательного центра «Планета» в Перми открылся магазин Ecru.

https://www.business-class.su/news/2023/05/09/v-permskom-trc-planeta-na-meste-bershka-otkrylsya-magazin-ecru",Город,0.37203765
45295,1683637782,"Сегодня в Перми состоялся парад, посвященный 78-й годовщине Победы в Великой Отечественной войне. В нем приняли участие около трех тысяч человек, порядка двух тысяч из них – военные, курсанты и кадеты.

https://www.business-class.su/news/2023/05/09/v-parade-pobedy-v-permi-prinyali-uchastie-bolee-treh-tysyach-chelovek

Фото: администрация Перми",Культура,0.77800626
45293,1683635220,"В Перми на торги вновь выставлено имущество «Мотовилихинских заводов». Речь идет о столетнем жилом доме и трансформаторной подстанции. 

https://www.business-class.su/news/2023/05/09/v-permi-vnov-obyavleny-torgi-po-prodazhe-imushchestva-motovilihinskih-zavodov",Город,0.6210249
45292,1683628020,"Жителей Перми 25 мая приглашают на съемку массовой сцены фильма «Культурная комедия». 

https://www.business-class.su/news/2023/05/09/zhitelei-permi-priglashayut-snyatsya-v-massovoi-scene-filma-kulturnaya-komediya",Культура,0.9975891
45290,1683620820,"Как благоустроить Пермь, сохранив природное равновесие. Побеседовали о зеленом каркасе города с ученым и общественницей.

https://www.business-class.su/news/2023/05/06/perm-zelenaya-rasskazyvaem-o-proektah-kotorye-formiruyut-zelenyi-karkas-goroda",Город,0.6298516
45289,1683613500,"В Пермском крае выбирают подрядчиков для ремонта региональных дорог. На торги выставлены два лота – каждый почти на миллиард.

https://www.business-class.su/news/2023/05/06/v-permskom-krae-razygrayut-kontrakty-na-remont-regionalnyh-dorog-na-2-mlrd-rublei",Город,0.8054982
45283,1683606120,"Власти планируют через процедуру аукциона приватизировать имущественный комплекс бывшего конезавода. Территория пустует порядка семи лет. А раньше там разводили орловских рысаков. 

https://www.business-class.su/news/2023/05/06/v-permskom-krae-sobirayutsya-privatizirovat-byvshii-konnyi-zavod",Город,0.9944723
45280,1683562860,"Прокуратура через суд требует обязать администрацию Перми разработать программы комплексного развития транспортной и коммунальной инфраструктуры. Сейчас такие документы на 2023 год и последующий период отсутствуют.

https://www.business-class.su/news/2023/05/06/prokuror-permi-podal-isk-k-merii-iz-za-otsutstviya-programmy-razvitiya-infrastruktury-transporta",Город,0.8252881
45279,1683555480,"Субподрядчик, который должен был начать реконструкцию старого Чусовского моста, подал иск к генеральному подрядчику и концессионеру объекта. Сумма внушительная – 2,8 млрд рублей.

 https://www.business-class.su/news/2023/05/06/genpodryadchiku-i-investoru-stroitelstva-chusovskogo-mosta-predyavili-isk-na-28-mlrd-rublei",Город,0.9536188
45278,1683548040,"Планируется, что проезд в автобусах и трамваях не нужно будет оплачивать с 0.00 12 июня до 2.00 13 июня. Это связано с проведением юбилейных мероприятий.

https://www.business-class.su/news/2023/05/05/v-den-goroda-v-permi-planiruyut-organizovat-besplatnyi-proezd-v-obshchestvennom-transporte",Город,0.7044705
45277,1683540660,"Осужденный экс-владелец ООО «Муллинская нефтебаза» и сети автозаправочных станций «Феникс Петролеум» Николай Тихоновец признан банкротом.

https://www.business-class.su/news/2023/05/06/sud-priznal-byvshego-vladelca-seti-azs-feniks-petroleum-bankrotom",Экономика,0.9919275
45276,1683533220,"Рядом с ТРЦ «Планета» появились «умные» остановки. К торгово-развлекательному-центру перенесут площадку для разворота и межрейсовой стоянки ряда автобусных маршрутов.

https://www.business-class.su/news/2023/05/06/u-trc-planeta-ustanovili-ostanovochnye-pavilony-dlya-avtobusov",Город,0.9183112
45275,1683525840,"СКР по Пермскому краю проводит процессуальную проверку после жалоб на производителя асфальтобетона из Кунгурского округа.

https://www.business-class.su/news/2023/05/05/glava-sk-rossii-poruchil-proverit-proizvoditelya-asfaltobetona-iz-permskogo-kraya",Силовые структуры,0.6012944
45273,1683518520,"Как будет ходить общественный транспорт в связи с перекрытием дорог в центре? Схемы внутри 👇

https://www.business-class.su/news/2023/05/05/v-permi-v-den-pobedy-izmenyatsya-marshruty-sledovaniya-obshchestvennogo-transporta",Город,0.9929188
45272,1683475201,"На площади перед Органным залом Пермской филармонии появилась модель противотанковой пушки 53-к образца 1943 года. Это первый экспонат патриотического фестиваля «Оружие Победы».

https://www.business-class.su/news/2023/05/06/v-centre-permi-ustanovili-obrazec-45-millimetrovoi-protivotankovoi-pushki",Культура,0.7086584
